N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"59,200",100,-0.17%,100,"3,534,111","5,969,783",56.00,"14,945,221",18.52,8.69,
2,SK하이닉스,"84,500",800,+0.96%,"5,000","615,162","728,002",48.26,"4,088,479",26.91,4.25,
3,삼성바이오로직스,"740,000","18,000",-2.37%,"2,500","489,621","66,165",10.26,"95,669",142.55,4.77,
4,NAVER,"292,000","6,000",-2.01%,100,"479,649","164,263",55.07,"651,551",68.07,10.56,
5,LG화학,"627,000","39,000",-5.86%,"5,000","442,614","70,592",36.38,"1,223,433",108.08,1.84,
6,삼성전자우,"51,300",400,+0.79%,100,"422,141","822,887",87.09,"1,611,060",16.05,N/A,
7,현대차,"185,000","4,000",+2.21%,"5,000","395,286","213,668",31.66,"3,092,372",26.66,4.32,
8,셀트리온,"278,500","13,000",-4.46%,"1,000","375,958","134,994",20.97,"1,054,078",93.93,11.19,
9,카카오,"364,500","8,500",-2.28%,500,"320,886","88,035",31.80,"524,629",-208.29,-5.81,
10,삼성SDI,"446,000","7,000",-1.55%,"5,000","306,690","68,765",41.62,"421,231",163.85,2.94,
11,LG생활건강,"1,497,000","19,000",-1.25%,"5,000","233,804","15,618",45.48,"16,553",34.14,20.32,
12,현대모비스,"242,500","2,500",+1.04%,"5,000","230,508","95,055",43.88,"421,460",13.21,7.28,
13,삼성물산,"108,500","1,000",-0.91%,100,"202,772","186,887",14.19,"360,698",18.96,4.77,
14,기아차,"48,450",650,+1.36%,"5,000","196,399","405,363",39.14,"3,029,707",18.45,6.50,
15,SK텔레콤,"240,500","3,500",-1.43%,500,"194,193","80,746",35.88,"211,616",19.74,3.92,
16,엔씨소프트,"804,000","17,000",-2.07%,500,"176,510","21,954",49.04,"64,762",33.86,14.72,
17,POSCO,"191,000","1,000",-0.52%,"5,000","166,527","87,187",51.89,"355,926",18.16,4.18,
18,넷마블,"188,000","2,000",+1.08%,100,"161,356","85,828",22.46,"497,836",77.78,3.54,
19,KB금융,"37,650",100,-0.26%,"5,000","156,552","415,808",65.57,"1,177,190",4.93,8.92,
20,LG전자,"90,900","1,000",+1.11%,"5,000","148,756","163,648",34.36,"1,044,745",36.48,0.22,
21,SK,"207,500","3,000",-1.43%,200,"145,998","70,360",22.09,"164,858",-399.81,4.31,
22,SK이노베이션,"157,500","4,500",+2.94%,"5,000","145,633","92,466",23.82,"1,081,948",-6.45,-0.20,
23,삼성에스디에스,"177,500","4,000",-2.20%,500,"137,346","77,378",12.12,"137,387",26.35,11.76,
24,신한지주,"28,150",200,-0.71%,"5,000","134,387","477,397",60.57,"1,350,922",4.23,9.09,
25,LG,"77,200","1,700",-2.15%,"5,000","133,214","172,557",34.96,"229,493",16.48,5.87,
26,한국전력,"20,700",200,+0.98%,"5,000","132,887","641,964",17.54,"3,399,684",-14.43,-3.42,
