코스피
바이오/제약:20~30,게임:20,5G:20,IT산업:10~15,스마트폰:10,자동차:8~10,건설/해운업:8,소프트웨어:30~40,2차전지:20,의료장비:20,반도체/장비:10,폐기물:10,기타제조업:8~10,금융/증권:3~8
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
삼성전자우,"536,450","588,867","277,685","366,852","77,779","71,603","64,473","81,463","123,532","97,440","605,645",https://finance.naver.com/item/main.nhn?code=005935,1.650672648184286,반도체와반도체장비,81000,490709
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
LG전자,"24,685","27,033","24,361","32,058","7,815","1,018","10,904","4,954","9,590","6,198","220,925",https://finance.naver.com/item/main.nhn?code=066570,6.981135056563231,전자제품,135000,193378
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
KB금융,"40,153","42,675","44,906","46,581","12,482","7,731","10,391","13,905","14,165","7,914","180,461",https://finance.naver.com/item/main.nhn?code=105560,3.891342318059299,은행,43400,111529
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
한국전력,"49,532","-2,080","-12,765","37,471","12,393","-15,872","4,306","3,898","23,322","6,128","175,898",https://finance.naver.com/item/main.nhn?code=015760,4.671429330217241,전기유틸리티,27400,58654
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
LG,"21,858","18,213","10,241","20,851","3,554",-656,"6,077","3,593","7,671","5,483","150,987",https://finance.naver.com/item/main.nhn?code=003550,6.615273396424816,복합기업,87500,132269
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
KT&G,"14,261","12,551","13,820","14,569","3,825","2,523","3,150","3,947","4,346","3,150","114,090",https://finance.naver.com/item/main.nhn?code=033780,7.818131981086823,담배,83100,106291
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
하나금융지주,"27,181","31,522","32,587","34,316","7,795","7,493","8,790","9,376","10,675","5,478","103,584",https://finance.naver.com/item/main.nhn?code=086790,3.0182697631049855,은행,34500,114303
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
삼성화재,"12,576","14,508","8,626",,"2,270",455,"2,407","3,858","2,773",,"88,828",https://finance.naver.com/item/main.nhn?code=000810,7.371618257261411,손해보험,187500,254353
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
고려아연,"8,948","7,647","8,053","8,890","2,088","1,769","2,043","1,640","2,674","2,532","75,763",https://finance.naver.com/item/main.nhn?code=010130,8.523230959613004,비철금속,401500,471065
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
KT,"13,753","12,615","11,511","12,224","3,124","1,483","3,831","3,419","2,923","2,049","62,667",https://finance.naver.com/item/main.nhn?code=030200,5.12739322533137,다각화된통신서비스,24000,46807
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
미래에셋대우,"6,278","5,123","7,280","10,228","1,715","1,526","1,387","3,871","2,942","1,970","60,918",https://finance.naver.com/item/main.nhn?code=006800,5.989970501474926,증권,9440,15759
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
CJ제일제당,"7,766","8,327","8,969","13,966","2,727","2,698","2,759","3,849","4,021","3,256","57,356",https://finance.naver.com/item/main.nhn?code=097950,4.130788620813828,항공화물운송과물류,381000,922342
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
코웨이,"4,727","5,198","4,583","6,039","1,403",446,"1,389","1,692","1,686","1,323","53,652",https://finance.naver.com/item/main.nhn?code=021240,8.809852216748768,가정용기기와용품,72700,82521
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
LG유플러스,"8,263","7,407","6,862","9,171","1,559","1,871","2,198","2,397","2,512","2,069","51,302",https://finance.naver.com/item/main.nhn?code=032640,5.590889276373147,무선통신서비스,11750,21016
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
한국타이어앤테크놀로지,"7,934","7,027","5,440","5,862","1,804","1,172","1,060",701,"2,247","1,856","48,807",https://finance.naver.com/item/main.nhn?code=161390,8.323158253751705,자동차부품,39400,47337
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
금호석유,"2,626","5,546","3,678","6,739",687,159,"1,331","1,201","2,138","2,100","44,178",https://finance.naver.com/item/main.nhn?code=011780,6.525553914327917,화학,145000,222203
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
LG이노텍,"2,965","2,635","4,031","5,987","1,865","2,093","1,380",429,894,"3,254","43,192",https://finance.naver.com/item/main.nhn?code=011070,7.250629511499077,전자장비와기기,182500,251702
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
삼성카드,"5,056","4,786","4,497","5,411","1,201",863,"1,505","1,476","1,734",687,"37,654",https://finance.naver.com/item/main.nhn?code=029780,6.970381340244354,카드,32500,46625
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
삼성증권,"3,603","4,581","5,176","6,810","1,198","1,141",220,"1,766","3,169","1,894","36,122",https://finance.naver.com/item/main.nhn?code=016360,5.124414810611435,증권,40450,78935
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
NH투자증권,"4,592","5,401","5,754","8,353","1,174",684,538,"2,963","3,537","1,738","31,799",https://finance.naver.com/item/main.nhn?code=005940,3.623404740200547,증권,11300,31186
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
DB손해보험,"8,679","7,207","5,116",,"1,809",704,"2,039","2,590","1,761",,"30,975",https://finance.naver.com/item/main.nhn?code=005830,3.63556338028169,손해보험,43750,120338
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
키움증권,"3,158","2,890","4,737","8,513",858,"1,200",103,"3,140","3,555","1,917","30,085",https://finance.naver.com/item/main.nhn?code=039490,3.4520940906483073,증권,126500,366444
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
대우조선해양,"7,330","10,248","2,928","4,376","-2,563","1,546","2,790",734,336,466,"29,398",https://finance.naver.com/item/main.nhn?code=042660,6.795654184003698,조선,27400,40319
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
LG화학우,"29,285","22,461","8,956","25,196","3,803",-275,"2,365","5,716","9,021","8,293","29,333",https://finance.naver.com/item/main.nhn?code=051915,1.1550698956487497,화학,824000,7133767
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
대림산업,"5,459","8,454","11,301","12,211","2,230","3,685","2,902","3,071","2,496","3,774","28,884",https://finance.naver.com/item/main.nhn?code=000210,2.359225679980397,건설,83000,351810
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
GS리테일,"1,657","1,803","2,388","2,711",906,499,888,592,790,456,"26,526",https://finance.naver.com/item/main.nhn?code=007070,9.730741012472487,백화점과일반상점,34450,35403
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
메리츠증권,"4,436","5,323","6,799","7,038","1,208","2,263","1,447","2,218","2,081","1,360","24,774",https://finance.naver.com/item/main.nhn?code=008560,3.4863495637489446,증권,3665,10512
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
DB하이텍,"1,432","1,130","1,813","2,680",618,478,647,771,671,590,"22,643",https://finance.naver.com/item/main.nhn?code=000990,8.452034341172078,반도체와반도체장비,51000,60340
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
한화,"21,589","18,061","11,257","16,714","3,878","1,148","2,964","5,013","6,362","3,890","21,213",https://finance.naver.com/item/main.nhn?code=000880,1.1636952109276428,생명보험,28300,243190
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
한화생명,"9,534","6,502",494,,882,"-1,328",998,"1,229","2,069",,"21,192",https://finance.naver.com/item/main.nhn?code=088350,3.6997206703910615,생명보험,2440,6595
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
대우건설,"4,290","6,287","3,641","4,222","1,190",448,"1,209",811,"1,029","1,155","20,719",https://finance.naver.com/item/main.nhn?code=047040,4.928401522359658,건설,4985,10114
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
메리츠화재,"5,136","3,127","3,528",,"1,022",322,"1,463","1,462","1,545",,"17,611",https://finance.naver.com/item/main.nhn?code=000060,2.9548657718120803,손해보험,14600,49410
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
아이에스동서,"3,245","3,802",662,"2,107",296,147,270,561,712,597,"16,497",https://finance.naver.com/item/main.nhn?code=010780,7.708878504672898,건설,53400,69270
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
LG생활건강우,"9,300","10,393","11,764","12,270","3,118","2,410","3,337","3,033","3,276","2,621","15,076",https://finance.naver.com/item/main.nhn?code=051905,1.2289883427080786,화장품,1620000,13181573
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
한화에어로스페이스,829,532,"1,652","2,254",571,351,32,702,943,666,"14,430",https://finance.naver.com/item/main.nhn?code=012450,6.158770806658131,우주항공과국방,28500,46275
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
영원무역,"1,811","2,010","2,376","2,561",705,347,506,517,"1,090",448,"14,047",https://finance.naver.com/item/main.nhn?code=111770,5.484966809839906,"섬유,의류,신발,호화품",31700,57794
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
메리츠금융지주,"10,037","8,024","9,623",,"1,918","2,513","2,683","3,512","3,625",,"13,146",https://finance.naver.com/item/main.nhn?code=138040,1.004047964561216,손해보험,9810,97704
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
SK디스커버리,821,"1,000","1,739",,649,417,822,542,476,,"12,508",https://finance.naver.com/item/main.nhn?code=006120,5.0990623726049735,석유와가스,65700,128847
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
KG동부제철,-118,-164,346,,55,337,287,280,339,,"11,601",https://finance.naver.com/item/main.nhn?code=016380,9.603476821192054,철강,11600,12078
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
DGB금융지주,"4,092","3,334","4,322","4,632","1,039",560,"1,333","1,330","1,315",714,"11,485",https://finance.naver.com/item/main.nhn?code=139130,2.4477834612105713,은행,6790,27739
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
JB금융지주,"3,480","4,168","4,849","4,898","1,288",768,"1,364","1,313","1,531",807,"11,110",https://finance.naver.com/item/main.nhn?code=175330,2.2153539381854435,은행,5640,25458
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
더블유게임즈,810,"1,358","1,546","2,026",376,390,384,593,494,551,"11,061",https://finance.naver.com/item/main.nhn?code=192080,5.470326409495549,게임엔터테인먼트,60200,110048
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
LG전자우,"24,685","27,033","24,361","32,058","7,815","1,018","10,904","4,954","9,590","6,198","10,965",https://finance.naver.com/item/main.nhn?code=066575,0.34648928774568666,전자제품,135000,3896224
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
영풍,"1,594","-1,089",844,,428,181,150,122,580,,"9,910",https://finance.naver.com/item/main.nhn?code=000670,8.723591549295774,핸드셋,538000,616718
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
다우기술,"3,302","3,241","5,075",,987,"1,225",219,"3,259","3,685",,"9,826",https://finance.naver.com/item/main.nhn?code=023590,1.0289005235602093,IT서비스,21900,212848
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
현대홈쇼핑,"1,253","1,123","1,297","1,503",203,303,289,431,386,394,"9,780",https://finance.naver.com/item/main.nhn?code=057050,6.52,인터넷과카탈로그소매,81500,125000
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
SK가스,977,"1,030","1,896","2,118",675,476,863,557,502,298,"9,646",https://finance.naver.com/item/main.nhn?code=018670,4.345045045045045,가스유틸리티,104500,240503
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
LG상사,"2,123","1,657","1,348","1,536",292,17,499,303,349,373,"9,574",https://finance.naver.com/item/main.nhn?code=001120,6.282152230971128,무역회사와판매업체,24700,39317
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
동원시스템즈,880,788,752,,161,116,181,275,296,,"9,146",https://finance.naver.com/item/main.nhn?code=014820,9.127744510978044,포장재,35700,39111
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
대상,967,"1,202","1,298","1,925",423,156,498,610,573,242,"9,026",https://finance.naver.com/item/main.nhn?code=001680,4.693707748309932,식품,26050,55499
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
쿠쿠홈시스,50,675,"1,206","1,555",385,207,273,512,403,370,"8,773",https://finance.naver.com/item/main.nhn?code=284740,5.630937098844672,가정용기기와용품,39100,69437
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
현대그린푸드,871,"1,372",899,918,300,49,311,220,234,153,"8,559",https://finance.naver.com/item/main.nhn?code=005440,9.323529411764707,식품과기본식료품소매,8760,9395
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
오리온홀딩스,49,"2,305","2,667",,878,810,836,686,887,,"8,269",https://finance.naver.com/item/main.nhn?code=001800,2.574408468244085,식품,13200,51273
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
SK디앤디,237,851,823,"1,460",228,534,199,429,620,244,"8,194",https://finance.naver.com/item/main.nhn?code=210980,5.491957104557641,부동산,43150,78569
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
동원산업,"2,246","1,777","1,936","2,758",582,199,624,898,934,517,"8,183",https://finance.naver.com/item/main.nhn?code=006040,2.7524386141944164,식품,222500,808374
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
삼양식품,433,552,783,"1,046",210,212,267,295,234,243,"7,608",https://finance.naver.com/item/main.nhn?code=003230,7.3224254090471605,식품,101000,137932
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
대한해운,949,"1,350","1,288","1,454",399,189,338,354,405,369,"7,426",https://finance.naver.com/item/main.nhn?code=005880,5.0654843110504775,해운사,3040,6001
,2017.12,2018.12,2019.12,2020.12(E),2019.09,2019.12,2020.03,2020.06,2020.09,2020.12(E),시가총액,링크,PER,분야,현재주가,목표주가
